ALGÉRIE,Siefer -Gaillardin, ambassadeur,29 janvier 1997.
ALGÉRIE,Colin de Verdi�re, ambassadeur,10 avril 2000.
ALGÉRIE,Bernard (Daniel), ambassadeur,30 août 2002.
ALGÉRIE,Colin de Verdi�re, ambassadeur,21 juillet 2004.
ALGÉRIE,Bajolet, ambassadeur,21 novembre 2006.
ALGÉRIE,Driencourt, ambassadeur,2 octobre 2008.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Fran�ois-Poncet, ambassadeur,1er août 1955.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Joxe (Louis), ambassadeur,28 décembre 1955.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Couve de Murville, ambassadeur,7 juillet 1956.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Seydoux de Clausonne (Fran�ois), ambassadeur,1er août 1958.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Jacquin de Margerie (Roland), ambassadeur,19 juillet 1962.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Seydoux de Clausonne (Fran�ois), ambassadeur,5 février 1965.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Sauvagnargues, ambassadeur,2 avril 1970.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Wormser, ambassadeur,1er juillet 1974.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Brunet, ambassadeur,13 juillet 1977.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Froment-Meurice, ambassadeur,18 décembre 1981.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Morizet, ambassadeur,28 avril 1983.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Boidevaix, ambassadeur,6 mars 1986.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Dufourcq, ambassadeur,18 mai 1992.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Scheer, ambassadeur,24 novembre 1993.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Martin (Claude), ambassadeur,2 avril 1999.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,De Faubournet de Montferrand, ambassadeur,30 septembre 2007.
RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE,Gourdault-Montagne, ambassadeur,9 février 2011.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Jessel,chargé d'affaires,15 mars 1973.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Guillier de Chalvron, ambassadeur,11 mars 1974.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Bayle (Henry), ambassadeur,1er juin 1976.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Du Cauz� de Nazelle, ambassadeur,5 janvier 1981.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Deshors, ambassadeur,9 septembre 1981.
RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE,Timsit, ambassadrice,3 mars 1986.
ANDORRE,Julienne, ambassadeur,28 juillet 1993.
ANDORRE,Mazeo, ambassadeur,14 février 1997.
ANDORRE,Leclercq (Henri), ambassadeur,17 mars 1999.
ANDORRE,Lassus, ambassadeur,17 septembre 2001.
ANDORRE,Gaillarde, ambassadeur,6 décembre 2002.
ANDORRE,Chouraqui, ambassadeur,13 avril 2007.
ANDORRE,Ber�ot, ambassadeur,7 mai 2010.
ANGOLA,Peyronnet,chargé d'affaires a.i ,31 janvier 1977.
ANGOLA,Le même,chargé d'affaires,1er mars 1978.
ANGOLA,Posier, ambassadeur,29 novembre 1978.
ANGOLA,Galabru, ambassadeur,1er février 1982.
ANGOLA,Gasseau, ambassadeur,12 septembre 1984.
ANGOLA,Huriet, ambassadeur,22 mai 1987.
ANGOLA,Filliol, ambassadeur,20 décembre 1989.
ANGOLA,Gendreau, ambassadeur,29 mars 1993.
ANGOLA,Cira, ambassadeur,28 novembre 1996.
ANGOLA,Richard (Alain), ambassadeur,10 janvier 2001.
ANGOLA,Aza�s, ambassadeur,17 février 2004.
ANGOLA,Blondet, ambassadeur,3 août 2007.
ANGOLA,Garnier, ambassadeur,31 mai 2010.
ANTIGUA - ET - BARBUDA,De Choiseul Praslin, ambassadeur,14 mai 1982.
ANTIGUA - ET - BARBUDA,Claude-Lafontaine, ambassadrice,24 août 1982.
ANTIGUA - ET - BARBUDA,Bochet (Gilbert), ambassadeur,2 avril 1984.
ANTIGUA - ET - BARBUDA,Bucco-Riboulat, ambassadeur,3 décembre 1987.
ANTIGUA - ET - BARBUDA,Schricke, ambassadeur,30 mai 1990.
ANTIGUA - ET - BARBUDA,Alvarez, ambassadrice,21 septembre 1992.
ANTIGUA - ET - BARBUDA,Dubois (H�l�ne), ambassadrice,7 août 1996.
ANTIGUA - ET - BARBUDA,Losguardi, ambassadeur,2 décembre 1998.
ANTIGUA - ET - BARBUDA,Vidal (Henri), ambassadeur,9 octobre 2000.
ANTIGUA - ET - BARBUDA,Venzo, ambassadeur,17 septembre 2003.
ANTIGUA - ET - BARBUDA,Sauteraud, ambassadrice,22 mars 2007.
ANTIGUA - ET - BARBUDA,Prom, ambassadeur,26 octobre 2009.
ARABIE  SAOUDITE,Maigret, délégué du Comité national français,1er juin 1942.
ARABIE  SAOUDITE,Le même, délégué du Gouvernement provisoire,29 janvier 1945.
ARABIE  SAOUDITE,Rageot,envoyé extraordinaire et ministre plénipotentiaire,17 avril 1945.
ARABIE  SAOUDITE,Bencheneb,envoyé extraordinaire et ministre plénipotentiaire,16 janvier 1947.
ARABIE  SAOUDITE,Gueyraud,envoyé extraordinaire et ministre plénipotentiaire ,21 avril 1949.
ARABIE  SAOUDITE,Le même, ambassadeur ,9 octobre 1952.
ARABIE  SAOUDITE,Filliol, ambassadeur,10 février 1955.
ARABIE  SAOUDITE,Cassin, ambassadeur,du 25 novembre 1955
ARABIE  SAOUDITE,,au 06 novembre 1956,
ARABIE  SAOUDITE,Souli�, ambassadeur,31 octobre 1962.
ARABIE  SAOUDITE,Revol, ambassadeur ,7 septembre 1964.
ARABIE  SAOUDITE,De Bouteiller, ambassadeur,23 septembre 1967.
ARABIE  SAOUDITE,Richard (Robert), ambassadeur,17 janvier 1975.
ARABIE  SAOUDITE,Drumetz, ambassadeur,17 janvier 1979.
ARABIE  SAOUDITE,Rocalve, ambassadeur,16 décembre 1981.
ARABIE  SAOUDITE,Lopinot, ambassadeur,13 mai 1985.
ARABIE  SAOUDITE,Berni�re, ambassadeur,5 septembre 1986.
ARABIE  SAOUDITE,Bressot, ambassadeur,4 décembre 1991.
ARABIE  SAOUDITE,Forquenot de La Fortelle, ambassadeur,24 mai 1994.
ARABIE  SAOUDITE,Poletti, ambassadeur,20 août 1998.
ARABIE  SAOUDITE,Bancalis de Maurel d�Aragon, ambassadeur,22 octobre 2004.
ARABIE  SAOUDITE,Besancenot (Bertrand), ambassadeur,17 juillet 2007.
ARGENTINE,Lancial, délégué du Comité national français,28 octobre 1942.
ARGENTINE,Lef�vre d'Ormesson (Wladimir), ambassadeur,15 mai 1945.
ARGENTINE,Georges-Picot (Guillaume), ambassadeur,16 novembre 1948.
ARGENTINE,De Girard de Charbonni�re, ambassadeur,19 décembre 1951.
ARGENTINE,Baudet, ambassadeur,10 septembre 1955.
ARGENTINE,Cornut-Gentille, ambassadeur,5 février 1957.
ARGENTINE,De Blanquet du Chayla, ambassadeur,1er août 1958.
ARGENTINE,Paul-Boncour, ambassadeur,8 juin 1962.
ARGENTINE,Jacquin de Margerie (Christian), ambassadeur,4 octobre 1963.
ARGENTINE,De La Chevardi�re de La Grandville, ambassadeur,5 avril 1968.
ARGENTINE,Winckler (Jean-Claude), ambassadeur,4 février 1972.
ARGENTINE,De La Gorce, ambassadeur,16 juin 1976.
ARGENTINE,Destremau, ambassadeur,29 novembre 1978.
ARGENTINE,Paolini, ambassadeur,7 décembre 1981.
ARGENTINE,Blanca, ambassadeur,5 avril 1984.
ARGENTINE,D�camps, ambassadeur,14 décembre 1988.
ARGENTINE,Guidoni, ambassadeur,1er août 1991.
ARGENTINE,Vignal (Renaud), ambassadeur,28 juillet 1993.
ARGENTINE,Dijoud, ambassadeur,26 mai 1997.
ARGENTINE,Lott, ambassadeur,26 juin 2003.
ARGENTINE,Baleine du Laurens, ambassadeur,18 octobre 2006.
ARGENTINE,Asvazadourian, ambassadeur,11 novembre 2009.
ARMÉNIE,De Hartingh, ambassadrice,21 avril 1992.
ARMÉNIE,Legras (Michel), ambassadeur,26 juin 1996.
ARMÉNIE,Cuny (Henry), ambassadeur,19 décembre 2001.
ARMÉNIE,Smessow, ambassadeur,3 novembre 2006.
ARMÉNIE,Reynaud, ambassadeur,22 septembre 2010.
AUSTRALIE,Aug�, ministre plénipotentiaire et envoyé extraordinaire,13 décembre 1944.
AUSTRALIE,Padovani, ambassadeur,11 juin 1949.
AUSTRALIE,Roch�, ambassadeur,10 octobre 1952.
AUSTRALIE,Sivan, ambassadeur,25 novembre 1955.
AUSTRALIE,Monod (Philippe), ambassadeur,28 juillet 1960.
AUSTRALIE,Bri�re, ambassadeur,15 mars 1963.
AUSTRALIE,Favereau, ambassadeur,28 mars 1967.
AUSTRALIE,Van Laethem, ambassadeur,18 janvier 1971.
AUSTRALIE,Tr�ca, ambassadeur,7 mai 1975.
AUSTRALIE,Carraud, ambassadeur,27 juillet 1978.
AUSTRALIE,M�rim�e, ambassadeur,10 décembre 1981.
AUSTRALIE,Follin, ambassadeur,23 mai 1985.
AUSTRALIE,Duzer, ambassadeur,24 février 1988.
AUSTRALIE,Baude, ambassadeur,18 février 1991.
AUSTRALIE,Girard, ambassadeur,20 mars 1995.
AUSTRALIE,Viaux, ambassadeur,18 janvier 2000.
AUSTRALIE,Henault, ambassadeur,3 juillet 2003.
AUSTRALIE,Descoueyte, ambassadeur,26 septembre 2005.
