LISTE CHRONOLOGIQUE;;;
;;;
DES AMBASSADEURS, ENVOYÉS EXTRAORDINAIRES,;;;
;;;
MINISTRES PLÉNIPOTENTIAIRES;;;
;;;
ET CHARGÉS D'AFFAIRES DE FRANCE À L'ÉTRANGER;;;
;;;
DEPUIS 1945;;;
;;mise à jour : 25/02/2011;
;;;

AFGHANISTAN;;;

;Seydoux de Clausonne (François), ambassadeur;5 février 1965.
;Sauvagnargues, ambassadeur;2 avril 1970.
;Wormser, ambassadeur;1er juillet 1974.
;Brunet, ambassadeur;13 juillet 1977.
;Froment-Meurice, ambassadeur;18 décembre 1981.
;Morizet, ambassadeur;28 avril 1983.
;Boidevaix, ambassadeur;6 mars 1986.
;Dufourcq, ambassadeur;18 mai 1992.
;Scheer, ambassadeur;24 novembre 1993.
;Martin (Claude), ambassadeur;2 avril 1999.
;De Faubournet de Montferrand, ambassadeur;30 septembre 2007.
;Gourdault-Montagne, ambassadeur;9 février 2011.

RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE;;

MM.;Jessel, chargé d'affaires;15 mars 1973.
;Guillier de Chalvron, ambassadeur;11 mars 1974.
;Bayle (Henry), ambassadeur;1er juin 1976.
;Du Cauzé de Nazelle, ambassadeur;5 janvier 1981.
;Deshors, ambassadeur;9 septembre 1981.
Mme;Timsit, ambassadrice;3 mars 1986.
;;
(Postérieurement voir : République fédérale d' Allemagne);;

ANDORRE;;

MM.;Julienne, ambassadeur;28 juillet 1993.
;Mazeo, ambassadeur;14 février 1997.
;Leclercq (Henri), ambassadeur;17 mars 1999.
;Lassus, ambassadeur;17 septembre 2001.
;Gaillarde, ambassadeur;6 décembre 2002.
;Chouraqui, ambassadeur;13 avril 2007.
;Berçot, ambassadeur;7 mai 2010.
ANGOLA;;

M.;Peyronnet, chargé d'affaires a.i ;31 janvier 1977.
;Le même, chargé d'affaires;1er mars 1978.
MM.;Posier, ambassadeur;29 novembre 1978.
;Galabru, ambassadeur;1er février 1982.
;Gasseau, ambassadeur;12 septembre 1984.
;Huriet, ambassadeur;22 mai 1987.
;Filliol, ambassadeur;20 décembre 1989.
;Gendreau, ambassadeur;29 mars 1993.
;Cira, ambassadeur;28 novembre 1996.
;Richard (Alain), ambassadeur;10 janvier 2001.
;Azaïs, ambassadeur;17 février 2004.
;Blondet, ambassadeur;3 août 2007.
;Garnier, ambassadeur;31 mai 2010.

ANTIGUA - ET - BARBUDA;;

M.;De Choiseul Praslin, ambassadeur;14 mai 1982.
Mlle;Claude-Lafontaine, ambassadrice;24 août 1982.
MM.;Bochet (Gilbert), ambassadeur;2 avril 1984.
;Bucco-Riboulat, ambassadeur;3 décembre 1987.
;Schricke, ambassadeur;30 mai 1990.
Mmes ;Alvarez, ambassadrice;21 septembre 1992.
